Timestamp,Transaction_Amount,User_Account_Age,Vendor_Account_Age,Transaction_Frequency,Session_Length,Weekend_Transaction,Holiday_Transaction,Peak_Hour,Fraud_Flag,Hour,DayOfWeek,Transaction_Amount_Per_Session,Currency_GBP,Currency_INR,Currency_USD,Payment_Method_Credit_Card,Payment_Method_Crypto,Payment_Method_PayPal,Location_DE,Location_FR,Location_IN,Location_UK,Location_US,Device_Type_Mobile,Device_Type_Tablet
2024-03-25 16:38:00,1271.262676852482,565,755,17,156.30691169919194,1,1,0,0,16,0,8.081416532310017,False,False,True,False,False,True,False,False,False,True,False,False,True
2024-04-01 14:52:00,2166.0369653087546,682,167,32,132.10327948983706,0,1,0,0,14,0,16.273355349400987,True,False,False,False,False,True,True,False,False,False,False,False,True
2024-09-11 01:18:00,13008.511885727337,847,488,14,24.766663043468785,1,0,0,1,1,2,504.8582295573844,False,False,False,True,False,False,False,False,False,True,False,True,False
2024-06-28 23:38:00,6256.641639595668,98,437,17,88.49602854583956,0,1,0,0,23,4,69.90971265714921,True,False,False,False,False,True,True,False,False,False,False,False,False
2024-03-17 13:48:00,6967.122752637975,659,223,32,84.71453248306067,0,1,1,0,13,6,81.28286476992514,True,False,False,False,False,True,True,False,False,False,False,False,False
2024-02-08 02:46:00,9741.273468895037,300,191,33,217.5510361920363,0,1,0,0,2,3,44.57207633797527,False,True,False,True,False,False,False,False,False,False,True,True,False
2024-04-05 08:57:00,19571.782113238885,30,787,30,276.27618442792004,0,1,1,0,8,4,70.58587506755998,False,True,False,False,False,False,True,False,False,False,False,False,True
2024-12-28 02:30:00,19309.189992566822,74,801,47,70.00537964017774,1,0,0,1,2,5,271.9398176647576,False,False,False,False,True,False,True,False,False,False,False,True,False
2024-03-01 18:18:00,8331.0573772079,172,576,34,23.312557728506444,1,1,1,0,18,4,342.66478542649367,False,False,False,False,False,True,False,True,False,False,False,False,False
2024-05-01 16:03:00,5317.329352193461,885,794,28,299.9871293562623,0,0,1,0,16,2,17.666301424801535,False,True,False,True,False,False,False,False,True,False,False,True,False
2024-05-12 20:55:00,6058.817131755674,923,173,24,207.6703937100824,0,1,0,0,20,6,29.03534624165962,False,True,False,False,False,False,False,True,False,False,False,False,False
2024-07-12 04:07:00,5382.938150250467,84,257,14,266.054783250087,0,0,0,0,4,4,20.156681279921294,False,True,False,False,False,True,False,False,False,False,False,True,False
2024-01-29 12:50:00,10649.593684764197,985,715,34,44.01994534327508,0,1,0,0,12,0,236.55279018136335,False,True,False,False,True,False,False,False,False,True,False,True,False
2024-08-16 17:25:00,12141.127557940561,585,450,47,240.42964429409326,0,1,1,0,17,4,50.28847055397663,False,False,False,False,False,False,False,False,True,False,False,False,False
2024-02-15 00:20:00,9780.699970711024,744,501,1,244.18380005044196,1,0,0,0,0,3,39.89129774764413,False,False,False,True,False,False,False,False,False,False,False,False,False
2024-08-11 12:39:00,8165.807301340565,290,931,22,46.29518887119214,1,0,0,0,12,6,172.656193922389,True,False,False,False,False,True,False,False,False,False,True,True,False
2024-08-15 03:09:00,4233.5879010230565,639,77,33,49.25984984813463,1,1,0,0,3,3,84.23399420840458,True,False,False,True,False,False,False,False,True,False,False,True,False
2024-05-18 05:21:00,9655.286771728446,85,615,44,89.33991362041851,1,0,0,1,5,5,106.87730798921386,True,False,False,False,True,False,False,False,True,False,False,True,False
2024-03-12 18:35:00,6828.643248911137,254,226,47,65.81944684308618,1,1,1,0,18,1,102.19544715697833,False,False,False,False,True,False,False,False,False,False,True,True,False
2024-06-12 17:56:00,10836.493301338875,664,226,18,292.64756250892157,1,1,0,1,17,2,36.903058921218324,False,False,True,True,False,False,True,False,False,False,False,False,False
2024-05-28 17:36:00,13507.036416077362,824,739,47,109.5202062572939,0,1,1,0,17,1,122.21327550396198,True,False,False,False,False,True,False,False,False,False,True,False,True
