Timestamp,Transaction_Amount,Vendor_Trust_Score,Transaction_Frequency,History,Money_Value,Loss,Approval_Anomaly_Flag,Recent_Account_Change_Flag,New_Vendor_Flag,High_Value_Flag,Account_Age,Risk,Hour,DayOfWeek,Transaction_Amount_Per_Hour,Cumulative_Transaction_Amount,Transaction_Type_Credit_Card,Transaction_Type_Online_Payment,Transaction_Type_Wire_Transfer
2024-01-15 12:43:00,0.05592780247294098,0.13210712691813828,0.4166666666666667,0.49429147078576224,0.08616446405786451,0.28715937769595845,0,0,0,0,0.06611570247933884,0,12,0,0.005324920722281823,0.0,False,False,True
2024-01-09 21:48:00,0.02779096935581336,0.5354893010921312,0.8541666666666666,0.816655473472129,0.8406863680273617,0.8991082358860535,0,1,0,0,0.5977961432506887,0,21,1,0.0015591415082540742,8.839388330767432e-05,True,False,False
2024-03-26 22:45:00,0.0527550789784553,0.33285457115305656,0.7291666666666666,0.25386165211551376,0.6432974878900015,0.6742265409545045,0,0,0,1,0.1763085399449036,0,22,1,0.0028337956379381884,0.0002557736567559754,False,True,False
2024-04-05 15:17:00,0.04700584115534935,0.4646420871447817,0.5416666666666666,0.5271994627266623,0.5634076965325384,0.3158782159217095,0,0,0,0,0.4931129476584022,0,15,4,0.003634277878812872,0.0004049629690201006,False,False,True
2024-10-10 14:16:00,0.028553225734910277,0.8063237986469991,0.10416666666666667,0.0020147750167897917,0.8070128192556605,0.8964599607711699,0,0,0,0,0.5289256198347108,0,14,3,0.0023552655161544864,0.0004957686146348805,True,False,False
2024-09-18 18:45:00,0.03811329702062332,0.6401591139199162,0.0625,0.9959704499664205,0.2302255732583958,0.5786277334715793,0,0,0,0,0.2920110192837465,0,18,2,0.0024794379392053026,0.0006168221141376687,False,True,False
2024-06-11 23:17:00,0.05207108756041842,0.5156038832077603,0.3958333333333333,0.8126259234385494,0.340824772053623,0.9501761751027373,0,0,0,0,0.2396694214876033,0,23,1,0.0026799536792813743,0.0007820377538828717,False,False,True
2024-12-05 13:32:00,0.03079242196005104,0.6602732368693093,0.9374999999999999,0.3478844862323707,0.6762183895139392,0.3679782241209167,0,0,0,1,0.1322314049586777,0,13,3,0.002722261521097772,0.0008799281667781903,True,False,False
2024-03-26 14:17:00,0.038816974956909105,0.3614903376534036,0.9374999999999999,0.9664204163868368,0.732533159680299,0.11333758352658281,0,0,0,0,0.15151515151515152,0,14,1,0.003201893377837187,0.0010032080876919564,True,False,False
2024-09-22 17:30:00,0.06382089669853466,0.5914731638105665,0.12499999999999999,0.6286098052384151,0.7052356720975603,0.4143098916180796,0,0,0,0,0.2644628099173554,0,17,6,0.0043849800127035085,0.0012055998634093728,False,True,False
2024-07-12 04:16:00,0.02401335549147235,0.17329072565920722,0.7291666666666666,0.12760241773002015,0.26611833556975784,0.28301926845987924,0,0,0,1,0.9090909090909091,0,4,4,0.005966559870229857,0.001282041460086647,False,False,True
2024-04-05 07:24:00,0.031142255717236483,0.949919039431352,0.18749999999999997,0.3176628609805238,0.8046367698199862,0.4180104155535336,0,0,0,1,0.9338842975206612,0,7,4,0.004827141712654799,0.0013810387392443808,False,False,False
2024-08-25 05:29:00,0.04285022672292394,0.5478970968518319,0.8333333333333333,0.022834116856950974,0.477251902207578,0.039848210518331525,0,0,0,0,0.6556473829201102,0,5,6,0.008854617569629266,0.0015170797794496196,False,False,False
2024-07-17 06:41:00,0.00034913616382590884,0.4375456356407349,0.9166666666666666,0.5130960376091337,0.21758655978447197,0.19059069959126415,0,0,0,0,0.303030303030303,0,6,2,7.552388770227969e-05,0.0015186483101000603,False,True,False
